donor,cond,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
PWH26,Wound30,CXCL12,843,1.1599665813291464,0.8493475682087782,1.478523123970681
PWH26,Wound30,ACTA2,843,0.14411154201030923,0.2858837485172005,0.34680448762361027
PWH26,Wound7,COL1A1,920,4.46300706062335,0.9956521739130435,5.079707884547655
PWH26,Wound7,COL3A1,920,3.853751587296102,0.9923913043478261,4.472356321168116
PWH26,Wound7,DCN,920,3.3343027316610243,0.9934782608695653,3.4337086493485742
PWH26,Wound7,LUM,920,2.7381684123794376,0.975,3.3122431466684934
PWH26,Wound7,TIMP1,920,2.5397451290597166,0.9923913043478261,2.8591379083672055
PWH26,Wound7,CHI3L1,920,0.002376344963407094,0.004347826086956522,0.0019266248418190201
PWH26,Wound7,FN1,920,2.2537716119346825,0.975,2.8275615708046637
PWH26,Wound7,MMP1,920,0.20896835980713302,0.2532608695652174,0.4690081070858362
PWH26,Wound7,MMP3,920,0.06931245877837446,0.1358695652173913,0.18855596625606813
PWH26,Wound7,IL6,920,0.6461333298454183,0.5706521739130435,1.0756688369298764
PWH26,Wound7,CXCL12,920,0.8924567373996262,0.7543478260869565,1.1073899389038442
PWH26,Wound7,ACTA2,920,0.5223833356278842,0.6456521739130435,1.0379346454500404
PWH27,Skin,COL1A1,521,3.9975721368317325,1.0,4.623941483225622
PWH27,Skin,COL3A1,521,3.4490338384056862,0.9923224568138196,4.1497812856797385
PWH27,Skin,DCN,521,4.0629863363946805,1.0,4.384498720925555
PWH27,Skin,LUM,521,1.9635961513464564,0.9654510556621881,2.3270566301426028
PWH27,Skin,TIMP1,521,1.7714880959381687,0.9731285988483686,2.1646998822680237
PWH27,Skin,CHI3L1,521,0.0,0.0,0.0
PWH27,Skin,FN1,521,1.7861503250233348,0.9366602687140115,2.114563443757093
PWH27,Skin,MMP1,521,0.013726863111554483,0.013435700575815739,0.034718693185289376
PWH27,Skin,MMP3,521,0.000698532850857289,0.0019193857965451055,0.0010385318005979901
